  materiale  | ubicazione | ubicazione_mappa | ubicazione_mappa 
 99350115477 | 123-041    | 1032041          | 1.03.2.04.1
 99350115486 | 124-161    | 1042161          | 1.04.2.16.1
 99350115508 | 122-141    | 1022141          | 1.02.2.14.1
 99350115527 | 121-151    | 1012151          | 1.01.2.15.1
 99350115614 | 115-111    | 1051111          | 1.05.1.11.1
 99350115614 | 115-111    | 1051111          | 1.05.1.11.1
 99350115675 | 114-011    | 1041011          | 1.04.1.01.1
 99350115685 | 114-122    | 1041122          | 1.04.1.12.2
 99350115731 | 215-151    | 2051151          | 2.05.1.15.1
 99350115731 | 215-151    | 2051151          | 2.05.1.15.1
 99350115863 | 216-053    | 2061053          | 2.06.1.05.3
 99350115863 | 216-053    | 2061053          | 2.06.1.05.3
 99350115869 | 223-092    | 2032092          | 2.03.2.09.2
 99350115869 | 223-092    | 2032092          | 2.03.2.09.2
 99350115873 | 212-112    | 2021112          | 2.02.1.11.2
 99350115880 | 115-052    | 1051052          | 1.05.1.05.2
 99350115880 | 115-052    | 1051052          | 1.05.1.05.2
 99350115884 | 217-064    | 2071064          | 2.07.1.06.4
 99350115884 | 217-064    | 2071064          | 2.07.1.06.4
 99350115978 | 223-014    | 2032014          | 2.03.2.01.4
 99350115978 | 223-014    | 2032014          | 2.03.2.01.4
 99350116166 | 217-043    | 2071043          | 2.07.1.04.3
 99350116166 | 217-043    | 2071043          | 2.07.1.04.3
 99350116166 | 217-043    | 2071043          | 2.07.1.04.3
 99350116268 | 215-071    | 2051071          | 2.05.1.07.1
 99350116269 | 214-113    | 2041113          | 2.04.1.11.3
 99350116271 | 214-033    | 2041033          | 2.04.1.03.3
 99350116271 | 214-033    | 2041033          | 2.04.1.03.3
 99350116273 | 216-094    | 2061094          | 2.06.1.09.4
 99350116273 | 216-094    | 2061094          | 2.06.1.09.4
 99350116273 | 216-094    | 2061094          | 2.06.1.09.4
 99350116273 | 216-094    | 2061094          | 2.06.1.09.4
 99350116273 | 216-094    | 2061094          | 2.06.1.09.4
 99350116291 | 213-104    | 2031104          | 2.03.1.10.4
 99350116291 | 213-104    | 2031104          | 2.03.1.10.4
 99350116294 | 214-173    | 2041173          | 2.04.1.17.3
 99350116619 | 114-022    | 1041022          | 1.04.1.02.2
 99350116619 | 114-022    | 1041022          | 1.04.1.02.2
 99350116622 | 116-152    | 1061152          | 1.06.1.15.2
 99350116623 | 123-044    | 1032044          | 1.03.2.04.4
 99350116624 | 116-173    | 1061173          | 1.06.1.17.3
 99350116624 | 116-173    | 1061173          | 1.06.1.17.3
 99350116624 | 116-173    | 1061173          | 1.06.1.17.3
 99350116626 | 124-163    | 1042163          | 1.04.2.16.3
 99350116626 | 124-163    | 1042163          | 1.04.2.16.3
 99350116627 | 114-023    | 1041023          | 1.04.1.02.3
 99350116627 | 114-023    | 1041023          | 1.04.1.02.3
 99350116627 | 114-023    | 1041023          | 1.04.1.02.3
 99350116628 | 114-044    | 1041044          | 1.04.1.04.4
 99350116628 | 114-044    | 1041044          | 1.04.1.04.4
 99350116630 | 117-052    | 1071052          | 1.07.1.05.2
 99350116630 | 117-052    | 1071052          | 1.07.1.05.2
 99350116631 | 115-143    | 1051143          | 1.05.1.14.3
 99350116631 | 115-143    | 1051143          | 1.05.1.14.3
 99350116634 | 115-093    | 1051093          | 1.05.1.09.3
 99350116634 | 115-093    | 1051093          | 1.05.1.09.3
 99350116634 | 115-093    | 1051093          | 1.05.1.09.3
 99350116637 | 114-163    | 1041163          | 1.04.1.16.3
 99350116637 | 114-163    | 1041163          | 1.04.1.16.3
 99350116637 | 114-163    | 1041163          | 1.04.1.16.3
 99350116640 | 116-033    | 1061033          | 1.06.1.03.3
 99350116640 | 116-033    | 1061033          | 1.06.1.03.3
 99350116641 | 111-111    | 1011111          | 1.01.1.11.1
 99350116673 | 111-183    | 1011183          | 1.01.1.18.3
 99350116673 | 111-183    | 1011183          | 1.01.1.18.3
 99350116931 | 112-042    | 1021042          | 1.02.1.04.2
 99350116931 | 112-042    | 1021042          | 1.02.1.04.2
 99350116936 | 115-154    | 1051152          | 1.05.1.15.2
 99350116936 | 115-154    | 1051152          | 1.05.1.15.2
 99350116936 | 115-154    | 1051152          | 1.05.1.15.2
 99350116937 | 124-014    | 1042014          | 1.04.2.01.4
 99350116937 | 124-014    | 1042014          | 1.04.2.01.4
 99350116939 | 112-014    | 1021014          | 1.02.1.01.4
 99350116940 | 114-033    | 1041033          | 1.04.1.03.3
 99350116942 | 114-144    | 1041144          | 1.04.1.14.4
 99350116942 | 114-144    | 1041144          | 1.04.1.14.4
 99350116943 | 113-152    | 1031152          | 1.03.1.15.2
 99350116943 | 113-152    | 1031152          | 1.03.1.15.2
 99350116943 | 113-152    | 1031152          | 1.03.1.15.2
 99350116947 | 123-102    | 1032102          | 1.03.2.10.2
 99350116957 | 112-081    | 1021081          | 1.02.1.08.1
 99350116957 | 112-081    | 1021081          | 1.02.1.08.1
 99350116957 | 112-081    | 1021081          | 1.02.1.08.1
 99350117100 | 214-034    | 2041034          | 2.04.1.03.4
 99350117100 | 214-034    | 2041034          | 2.04.1.03.4
 99350117185 | 215-051    | 2051051          | 2.05.1.05.1
 99350117193 | 214-172    | 2041172          | 2.04.1.17.2
 99350117201 | 217-034    | 2071072          | 2.07.1.07.2
 99350117201 | 217-034    | 2071072          | 2.07.1.07.2
 99350117201 | 217-034    | 2071072          | 2.07.1.07.2
 99350117272 | 223-103    | 2032103          | 2.03.2.10.3
 99350117272 | 223-103    | 2032103          | 2.03.2.10.3
 99350117274 | 216-014    | 2061014          | 2.06.1.01.4
 99350117274 | 216-014    | 2061014          | 2.06.1.01.4
 99350117274 | 216-014    | 2061014          | 2.06.1.01.4
 99350117275 | 216-034    | 2061034          | 2.06.1.03.4
 99350117275 | 216-034    | 2061034          | 2.06.1.03.4
 99350117276 | 224-124    | 2042124          | 2.04.2.12.4
 99350117276 | 224-124    | 2042124          | 2.04.2.12.4
 99350117277 | 224-054    | 2042054          | 2.04.2.05.4
 99350117277 | 224-054    | 2042054          | 2.04.2.05.4
 99350117280 | 223-094    | 2032094          | 2.03.2.09.4
 99350117280 | 223-094    | 2032094          | 2.03.2.09.4
 99350117281 | 215-094    | 2051094          | 2.05.1.09.4
 99350117281 | 215-094    | 2051094          | 2.05.1.09.4
 99350117282 | 224-172    | 2042172          | 2.04.2.17.2
 99350117282 | 224-172    | 2042172          | 2.04.2.17.2
 99350117284 | 216-062    | 2061062          | 2.06.1.06.2
 99350117286 | 223-111    | 2032111          | 2.03.2.11.1
 99350117286 | 223-111    | 2032111          | 2.03.2.11.1
 99350117287 | 224-141    | 2042141          | 2.04.2.14.1
 99350117289 | 215-144    | 2051144          | 2.05.1.14.4
 99350117289 | 215-144    | 2051144          | 2.05.1.14.4
 99350117290 | 224-043    | 2042043          | 2.04.2.04.3
 99350117290 | 224-043    | 2042043          | 2.04.2.04.3
 99350117291 | 224-112    | 2042112          | 2.04.2.11.2
 99350117291 | 224-112    | 2042112          | 2.04.2.11.2
 99350117292 | 223-201    | 2032201          | 2.03.2.20.1
 99350117293 | 224-094    | 2042094          | 2.04.2.09.4
 99350117293 | 224-094    | 2042094          | 2.04.2.09.4
 99350117293 | 224-094    | 2042094          | 2.04.2.09.4
 99350117294 | 213-124    | 2031123          | 2.03.1.12.3
 99350117294 | 213-124    | 2031123          | 2.03.1.12.3
 99350117294 | 213-124    | 2031123          | 2.03.1.12.3
 99350117295 | 223-011    | 2032011          | 2.03.2.01.1
 99350117295 | 223-011    | 2032011          | 2.03.2.01.1
 99350117296 | 223-204    | 2032204          | 2.03.2.20.4
 99350117296 | 223-204    | 2032204          | 2.03.2.20.4
 99350117297 | 224-031    | 2042031          | 2.04.2.03.1
 99350117298 | 218-041    | 2081041          | 2.08.1.04.1
 99350117298 | 218-041    | 2081041          | 2.08.1.04.1
 99350117299 | 218-061    | 2081061          | 2.08.1.06.1
 99350117300 | 224-163    | 2042163          | 2.04.2.16.3
 99350117300 | 224-163    | 2042163          | 2.04.2.16.3
 99350117300 | 224-163    | 2042163          | 2.04.2.16.3
 99350117301 | 218-134    | 2081134          | 2.08.1.13.4
 99350117301 | 218-134    | 2081134          | 2.08.1.13.4
 99350117301 | 218-134    | 2081134          | 2.08.1.13.4
 99350117301 | 218-134    | 2081134          | 2.08.1.13.4
 99350117302 | 224-184    | 2042184          | 2.04.2.18.4
 99350117302 | 224-184    | 2042184          | 2.04.2.18.4
 99350117302 | 224-184    | 2042184          | 2.04.2.18.4
 99350117303 | 224-082    | 2042082          | 2.04.2.08.2
 99350117303 | 224-082    | 2042082          | 2.04.2.08.2
 99350117304 | 224-074    | 2042074          | 2.04.2.07.4
 99350117304 | 224-074    | 2042074          | 2.04.2.07.4
 99350117304 | 224-074    | 2042074          | 2.04.2.07.4
 99350117305 | 212-023    | 2021023          | 2.02.1.02.3
 99350117305 | 212-023    | 2021023          | 2.02.1.02.3
 99350117305 | 212-023    | 2021023          | 2.02.1.02.3
 99350117306 | 216-054    | 2061054          | 2.06.1.05.4
 99350117307 | 214-164    | 2041164          | 2.04.1.16.4
 99350117307 | 214-164    | 2041164          | 2.04.1.16.4
